Rank,CellID,ParamAspectRatio,R2,SigmaEnvEff,CarrierScale_HalfLambda,SigmaC,SigmaS,Ac,As,Freq_cyclesPerPixel,OffsetMag,DSI,OSI,F1F0,DataOriDeg,FftDeg,EnvDeg,OffsetDeg
21,1248,1.81683372167451,0.805237200782089,3.93641881992043,7.1518184546656,3.93641881992043,4.5986659864398,5.82891576100399,6.31696377389225,0.069912289184832,1.22061239370293,0.563953897795827,0.534013286480318,0.10210537102235,120,96.6645214019111,96.6645214019111,71.6701868922735
22,1820,1.85857204579463,0.68451413844407,4.24411009516723,7.88798438215259,4.24411009516723,5.27401333679161,4.96272777140713,3.76329860742428,0.0633875494392844,1.96167453856659,0.0506683844618415,0.352436933168712,0.587080503313753,60,78.6225157169107,78.6225157169107,59.7606084659632
23,783,1.86515159885503,0.626990368071651,3.84996755494415,7.18077314064406,3.84996755494415,4.52988686281614,4.59787350041702,4.40261617581849,0.0696303852255042,1.43693068861801,0.105178535539626,0.865829098619249,0.880446176398457,60,84.9221561886721,84.9221561886721,101.888769602574
24,912,1.89430218970523,0.718779818432866,2.7123077823564,5.13793057127225,2.7123077823564,3.29810201082128,7.11426528723274,8.02286507885632,0.097315445015091,0.911439758981629,0.0562529218750683,0.898498857725283,1.20669542792277,120,104.140341132146,104.140341132146,NaN
25,123,1.90052623878182,0.77348808147325,3.35276138959873,6.37201099330698,3.35276138959873,3.80801514070006,5.47043646739781,5.87565873588766,0.0784681634299108,1.41454236999813,0.264580741286884,1,0.991726458456369,90,99.6667283529003,99.6667283529003,19.8913439776815
26,1850,1.96302060913828,0.78696007887055,3.53834834067382,6.94585071505295,3.53834834067382,3.86088227304409,4.10240768478617,5.54023108453486,0.0719854227382698,1.85965025265216,0.279557257116864,1,1.35441374380695,150,138.637826752469,138.637826752469,127.945033967899
27,93,1.97048052788301,0.77877983383133,3.3288546642997,6.55944329615509,3.3288546642997,3.60503430082994,4.67460938774725,5.71563715426477,0.0762259809903505,1.63382867316972,0.0735792380123998,0.373547017019511,0.135471826597621,90,89.2647766656045,89.2647766656045,29.9827803812282
28,231,1.99944430732865,0.674128135869262,2.83319041871547,5.66480645427873,2.83319041871547,3.43116740492584,3.84528781780426,4.34889604717696,0.0882642688740655,0.593087405819853,0.00468035076420761,1,1.10297185034748,90,80.5160749251837,80.5160749251837,NaN
29,446,2.01466129215984,0.80540430937472,4.06007812807569,8.17968224777889,4.06007812807569,4.61243433728161,5.14498313916529,5.93082095018303,0.0611270688584229,1.43939470189627,0.87476743987574,0.155438976590163,0.418316858323507,150,85.4144753124796,85.4144753124796,80.0868909211357
30,647,2.04067697934895,0.767511195125768,3.49495098179858,7.13206601250939,3.49495098179858,3.68350049687973,3.93440132740494,4.83449143473067,0.070105913086477,1.85675018097023,0.826446280991736,0.296779475274942,1.1899167294601,90,51.1494102517389,51.1494102517389,80.1633315455809
31,1832,2.07647370415575,0.822203901752509,3.21828673982702,6.68268778768396,3.21828673982702,3.92529161627507,10.1956388619794,7.79963110315224,0.0748201944914273,1.77023076300449,0.23207491338925,0.938130516923959,0.914650467005988,150,112.624470883704,112.624470883704,178.453146022671
32,1618,2.10616971558756,0.560375881472939,3.11813370041275,6.56731876896232,3.11813370041275,4.781886020847,3.83893300320564,1.7686772666033,0.0761345714423123,0.671454367061853,0.900946655660263,0.473117045786903,1.05090011354247,30,66.2258320217522,66.2258320217522,NaN
33,772,2.12232120039388,0.821284664384926,4.11840132451017,8.74057044273818,4.11840132451017,4.11840132451026,5.55811276767513,4.69973323162323,0.0572045043599424,1.92513703698757,NaN,NaN,0.413801679981504,0,74.7354729963555,74.7354729963555,165.055369698564
34,1329,2.14562716293639,0.766872639493499,3.13392628590599,6.72423736568024,3.13392628590599,3.95238917934784,5.34928131454544,5.82664510555464,0.074357874775799,1.29338466346711,NaN,NaN,0.10193487756596,0,62.5674459730838,62.5674459730838,93.7584187750115
35,915,2.14971381827098,0.574125247237508,3.28886267875449,7.07011354691423,3.28886267875449,3.31335512282747,5.11173298203557,4.60914345352345,0.0707202220561545,1.73474244389559,0.0561438664985229,0.848876389561151,0.507734461034703,0,22.1379433765279,22.1379433765279,156.28736729499
36,1610,2.17199840857115,0.825822880887829,2.1119188619708,4.58708440723197,2.1119188619708,2.22485390429656,10.4952113786974,6.12755187305889,0.109001700341878,0.936506162911263,0.61946380063777,1,1.57334087403508,90,102.675401474031,102.675401474031,NaN
37,1836,2.22438903763329,0.852891637701163,2.74239203982025,6.10014679026896,2.74239203982025,2.83879891114743,8.93715101320177,6.01112257823878,0.0819652407049625,1.16589359157027,NaN,NaN,0.496684412415417,0,97.5205808819671,97.5205808819671,94.4216370945986
38,766,2.23370036436239,0.688816433826179,3.21421858045102,7.1796012142938,3.21421858045102,3.55852954899919,4.77288677330756,4.87038585896726,0.0696417509937118,1.7668343835281,0.483312983312983,0.350140080584699,0.268760596340152,60,84.574934088806,84.574934088806,138.58281894779
39,1546,2.23472116711851,0.754366810911129,3.32230632084329,7.42442825884011,3.32230632084329,3.82684780397339,5.28854207479315,5.72320151037079,0.0673452530711251,1.33389233882346,1,0.0500561006108734,0.450413978798531,0,132.791938193248,132.791938193248,55.3963294763571
40,779,2.24412133938753,0.825980918693416,2.84150873003373,6.37669037712464,2.84150873003373,3.44596573749576,5.05206920872735,5.96379187756098,0.0784105814191121,1.33782184445182,0.260021900042419,0.727505187148544,1.07359642084687,60,57.5963086285637,57.5963086285637,86.8337542998533
41,649,2.2496393706978,0.832974428830593,2.73773677636911,6.15892043872721,2.73773677636911,3.28145115329191,5.88219393153695,7.71226610868007,0.0811830587802379,1.20585089057931,0.916894373768142,0.338307457314248,1.58838877050065,150,77.4334570146872,77.4334570146872,110.550313032274
42,378,2.28608804553804,0.730689754584672,3.43173883102716,7.84525711701986,3.43173883102716,4.43642621501123,4.19422749934003,3.88351954284261,0.063732774151567,1.4852456159802,NaN,NaN,0.375822504597546,0,69.69501071494,69.69501071494,170.162578134292
43,328,2.33870145358142,0.704335556841696,3.44161349371312,8.04890648041231,3.44161349371312,3.44161349371314,6.09534695288271,4.97560342988919,0.0621202397141515,1.38082053483089,0.667059721686811,1,0.158459430505494,0,142.368485320884,142.368485320884,177.000428824073
44,614,2.35926708224533,0.758887687103101,3.84588220967237,9.07346329947294,3.84588220967237,4.43041530452781,6.82879638282361,4.82768929442182,0.0551057499763121,1.2353820618561,0.160886155248021,0.504362270760649,1.07359817020936,30,48.6688609566964,48.6688609566964,49.0594541642783
45,1587,2.37121127449942,0.860204942420434,5.76135144215246,13.6613814959854,5.76135144215246,6.21859740608297,6.39180606981185,5.13998749747654,0.0365995196127809,2.14440679057923,0.0878368006849545,0.572432340505077,0.330415192676456,90,111.602677438306,111.602677438306,38.8260188533892
