cellID,R2_DoG,R2_Gabor,deltaR2_DoG_minus_Gabor,winner
649,0.848446044842869,0.782552405876868,0.065893638966001,Elliptical nonconcentric DoG
654,0.820490103900483,0.668839528543459,0.151650575357025,Elliptical nonconcentric DoG
657,0.856598471805114,0.857513679371482,-0.000915207566368315,Elliptical Gabor
659,0.841083788169184,0.771774392549694,0.06930939561949,Elliptical nonconcentric DoG
664,0.850572355865475,0.809374743098143,0.0411976127673328,Elliptical nonconcentric DoG
743,0.873282856696081,0.865647012118252,0.00763584457782818,Elliptical nonconcentric DoG
744,0.6688951253582,0.705678050768826,-0.036782925410626,Elliptical Gabor
748,0.650467861256605,0.568691725918354,0.0817761353382505,Elliptical nonconcentric DoG
766,0.631153880589631,0.638000664449743,-0.00684678386011184,Elliptical Gabor
771,0.784448962776945,0.834316759488649,-0.0498677967117042,Elliptical Gabor
772,0.817578367729151,0.788272123951736,0.029306243777415,Elliptical nonconcentric DoG
775,0.562769407388201,0.560301438928337,0.00246796845986441,Elliptical nonconcentric DoG
776,0.847820556454521,0.855775272403533,-0.00795471594901265,Elliptical Gabor
778,0.764658407418253,0.671251648766098,0.0934067586521551,Elliptical nonconcentric DoG
779,0.825422420899661,0.747754348735846,0.0776680721638144,Elliptical nonconcentric DoG
783,0.605495036161031,0.591930905072742,0.0135641310882897,Elliptical nonconcentric DoG
792,0.63764152242406,0.579530652190241,0.0581108702338192,Elliptical nonconcentric DoG
793,0.365693590570965,0.3577375195313,0.007956071039665,Elliptical nonconcentric DoG
797,0.71853223154132,0.772299867878044,-0.0537676363367245,Elliptical Gabor
798,0.68014204918814,0.747558073749369,-0.0674160245612286,Elliptical Gabor
800,0.859948289770748,0.845010503308325,0.0149377864624238,Elliptical nonconcentric DoG
801,0.780054273174508,0.809410264946788,-0.0293559917722799,Elliptical Gabor
808,0.788018779855954,0.782004126522052,0.00601465333390128,Elliptical nonconcentric DoG
870,0.78568685705009,0.754019582398446,0.0316672746516439,Elliptical nonconcentric DoG
890,0.807779882247959,0.784791907007153,0.0229879752408061,Elliptical nonconcentric DoG
911,0.503982789335518,0.497645550585594,0.00633723874992442,Elliptical nonconcentric DoG
912,0.703943844045724,0.737425538512026,-0.0334816944663013,Elliptical Gabor
913,0.735104861249252,0.72317305840126,0.011931802847992,Elliptical nonconcentric DoG
914,0.233092470523112,0.311709578952945,-0.0786171084298329,Elliptical Gabor
915,0.512760847784673,0.497552050195048,0.0152087975896246,Elliptical nonconcentric DoG
919,0.793323085516824,0.790761420500775,0.00256166501604949,Elliptical nonconcentric DoG
1015,0.904205867754104,0.898192119682723,0.00601374807138111,Elliptical nonconcentric DoG
1078,0.874101509023149,0.853546551138373,0.0205549578847759,Elliptical nonconcentric DoG
1080,0.529607896840509,0.608935474054064,-0.079327577213555,Elliptical Gabor
1083,0.773355819763474,0.775813687567144,-0.00245786780367008,Elliptical Gabor
1086,0.605810471761325,0.590562003580411,0.0152484681809133,Elliptical nonconcentric DoG
1095,0.794375193205352,0.792682038110363,0.00169315509498935,Elliptical nonconcentric DoG
1235,0.818435887573383,0.863077322342676,-0.0446414347692927,Elliptical Gabor
1240,0.839205649613586,0.731133743798806,0.10807190581478,Elliptical nonconcentric DoG
1248,0.772934092369135,0.730139643147926,0.0427944492212088,Elliptical nonconcentric DoG
1252,0.754124951741266,0.608262369325618,0.145862582415648,Elliptical nonconcentric DoG
1255,0.716934896142602,0.701108820763394,0.0158260753792082,Elliptical nonconcentric DoG
1322,0.331536991782677,0.314251666403172,0.0172853253795051,Elliptical nonconcentric DoG
1328,0.644454911964692,0.644959997008674,-0.000505085043981612,Elliptical Gabor
1329,0.72316382156419,0.697577592737506,0.0255862288266838,Elliptical nonconcentric DoG
1330,0.650655104627387,0.673249984440485,-0.0225948798130978,Elliptical Gabor
1334,0.737122245600899,0.7340824333831,0.00303981221779903,Elliptical nonconcentric DoG
1341,0.874442431598694,0.853713419663825,0.0207290119348691,Elliptical nonconcentric DoG
