Rank,CellID,AspectRatio_sigmaS_vs_lambda,R2,SigmaC,DeltaSigma,SigmaS,Freq_cyclesPerPixel,Lambda_pixelsPerCycle,DSI,OSI,F1F0,DataOriDeg,FftDeg,EnvDeg,OffsetDeg
37,779,1.62120106216429,0.825980918693416,2.84150873003373,0.604457007462038,20.6757944249746,0.0784105814191121,12.7533807542493,0.260021900042419,0.727505187148544,1.07359642084687,60,57.5963086285637,57.5963086285637,86.8337542998533
38,1440,1.62415117045601,0.634661429530732,3.39733838530998,1.72686864019903,30.7452421530541,0.0528260978518484,18.9300372479625,0.68607588097843,1,0.287495555533532,0,102.109835080918,102.109835080918,NaN
39,93,1.64878365650775,0.77877983383133,3.3288546642997,0.276179636530241,21.6302058049796,0.0762259809903505,13.1188865923102,0.0735792380123998,0.373547017019511,0.135471826597621,90,89.2647766656045,89.2647766656045,29.9827803812282
40,1850,1.66756345540663,0.78696007887055,3.53834834067382,0.322533932370274,23.1652936382646,0.0719854227382698,13.8917014301059,0.279557257116864,1,1.35441374380695,150,138.637826752469,138.637826752469,127.945033967899
41,446,1.6916675480398,0.80540430937472,4.06007812807569,0.552356209205918,27.6746060236896,0.0611270688584229,16.3593644955578,0.87476743987574,0.155438976590163,0.418316858323507,150,85.4144753124796,85.4144753124796,80.0868909211357
42,378,1.69647450000841,0.730689754584672,3.43173883102716,1.00468738398407,26.6185572900674,0.063732774151567,15.6905142340397,NaN,NaN,0.375822504597546,0,69.69501071494,69.69501071494,170.162578134292
43,1856,1.75247325330489,0.842070944969474,4.11705255052159,0.00653854892491068,24.741546596679,0.0708311926442026,14.1180737280985,0.944410487022201,0.943672095535337,0.221724947289277,30,57.8294425994235,57.8294425994235,123.037322462188
44,1832,1.76214649299162,0.822203901752509,3.21828673982702,0.707004876448049,23.5517496976504,0.0748201944914273,13.3653755753679,0.23207491338925,0.938130516923959,0.914650467005988,150,112.624470883704,112.624470883704,178.453146022671
45,1329,1.76334755797902,0.766872639493499,3.13392628590599,0.81846289344185,23.7143350760871,0.074357874775799,13.4484747313605,NaN,NaN,0.10193487756596,0,62.5674459730838,62.5674459730838,93.7584187750115
46,123,1.79284772642416,0.77348808147325,3.35276138959873,0.455253751101325,22.8480908442003,0.0784681634299108,12.744021986614,0.264580741286884,1,0.991726458456369,90,99.6667283529003,99.6667283529003,19.8913439776815
47,231,1.81709689428182,0.674128135869262,2.83319041871547,0.597976986210368,20.587004429555,0.0882642688740655,11.3296129085575,0.00468035076420761,1,1.10297185034748,90,80.5160749251837,80.5160749251837,NaN
48,783,1.89250660371503,0.626990368071651,3.84996755494415,0.679919307871991,27.1793211768969,0.0696303852255042,14.3615462812881,0.105178535539626,0.865829098619249,0.880446176398457,60,84.9221561886721,84.9221561886721,101.888769602574
49,1860,1.91989152611118,0.711871709602729,4.18049988236161,2.54328651700801e-12,25.0829992941849,0.076541545275101,13.0648002520182,0.338732267351887,1,0.612329362265432,150,116.337004501547,116.337004501547,177.702470003956
50,912,1.92573758932944,0.718779818432866,2.7123077823564,0.585794228464882,19.7886120649277,0.097315445015091,10.2758611425445,0.0562529218750683,0.898498857725283,1.20669542792277,120,104.140341132146,104.140341132146,NaN
51,1248,1.92901959785058,0.805237200782089,3.93641881992043,0.662247166519376,27.5919959186388,0.069912289184832,14.3036369093312,0.563953897795827,0.534013286480318,0.10210537102235,120,96.6645214019111,96.6645214019111,71.6701868922735
52,775,1.96995685198849,0.637797357311982,4.42357369582087,0.128085719003706,27.3099564889475,0.0721332841663714,13.8632257155179,0.225196825160181,0.837304242158571,0.285985894346829,150,141.626257963468,141.626257963468,66.6365289645534
53,1431,1.99846115392286,0.69993632687161,6.12339446241425,0.845189984085629,41.8115066789993,0.0477969179457154,20.9218510937407,0.182223980110747,0.506842317099601,0.43759953609353,30,95.6688107513239,95.6688107513239,175.098250785131
54,1820,2.00584068677594,0.68451413844407,4.24411009516723,1.02990324162438,31.6440800207497,0.0633875494392844,15.7759687643052,0.0506683844618415,0.352436933168712,0.587080503313753,60,78.6225157169107,78.6225157169107,59.7606084659632
55,600,2.02769143666443,0.770741144931265,5.60995514254093,0.209068359669551,34.9141410132629,0.0580765093402747,17.2186657111385,0.838473384580331,0.0688574098834377,0.0544635760149108,120,95.6531513551295,95.6531513551295,3.06919708087458
56,1847,2.02776024258037,0.760581030515488,2.72169295144025,0.302305776676677,18.1439923687016,0.11175931963454,8.94779964006639,0.734353280253017,1,1.38837091466217,90,94.4506335871703,94.4506335871703,78.9145731705
57,1592,2.13127648439346,0.78638466067385,2.8184834999956,0.51308276234272,19.9893975740299,0.106620345935908,9.37907292667317,1,1,1.06414138710626,90,83.7143650875003,83.7143650875003,111.897651441471
